datetime,timestamp,open,high,low,close,volume,turnover
2023-06-03 06:30:00,1685741400000,27150.1,27242.7,27150.1,27200,1037.484,28226790.1921
2023-06-03 07:00:00,1685743200000,27200,27237,27190.4,27232.2,411.52,11201094.1425
2023-06-03 07:30:00,1685745000000,27232.2,27291.9,27227.1,27251.3,1238.456,33765312.9618
2023-06-03 08:00:00,1685746800000,27251.3,27262,27221.3,27224.3,651.537,17753224.1908
2023-06-03 08:30:00,1685748600000,27224.3,27244.8,27221.2,27238.1,407.555,11099871.5743
2023-06-03 09:00:00,1685750400000,27238.1,27238.3,27192.1,27206.3,697.424,18976446.9205
2023-06-03 09:30:00,1685752200000,27206.3,27206.4,27140.7,27159,1071.844,29119831.084
2023-06-03 10:00:00,1685754000000,27159,27178.5,27121,27137,893.718,24263393.0377
2023-06-03 10:30:00,1685755800000,27137,27147.9,27083.7,27120,1536.052,41645929.6417
2023-06-03 11:00:00,1685757600000,27120,27157,27119.7,27143.6,427.301,11597204.2513
2023-06-03 11:30:00,1685759400000,27143.6,27147.4,27115.9,27144.7,461.184,12511847.0696
2023-06-03 12:00:00,1685761200000,27144.7,27162.8,27120.9,27122,361.938,9825334.1635
2023-06-03 12:30:00,1685763000000,27122,27135,27117.3,27130.4,365.71,9919318.2558
2023-06-03 13:00:00,1685764800000,27130.4,27133.3,27097.5,27112.3,611.929,16590828.3548
2023-06-03 13:30:00,1685766600000,27112.3,27152.1,27096.9,27148,452.596,12277492.7176
2023-06-03 14:00:00,1685768400000,27148,27159.9,27132.4,27145.1,465.365,12633996.1272
2023-06-03 14:30:00,1685770200000,27145.1,27153.2,27129,27152,350.66,9519254.2534
2023-06-03 15:00:00,1685772000000,27152,27209.3,27151.9,27182,991.001,26937550.1471
2023-06-03 15:30:00,1685773800000,27182,27190,27159.8,27167.2,376.485,10231198.5599
2023-06-03 16:00:00,1685775600000,27167.2,27190.2,27163.6,27173.9,612.618,16649493.9592
2023-06-03 16:30:00,1685777400000,27173.9,27191.7,27159.8,27159.9,388.283,10550476.653
2023-06-03 17:00:00,1685779200000,27159.9,27169.6,27159.9,27159.9,305.911,8309594.4844
2023-06-03 17:30:00,1685781000000,27159.9,27160,27132.5,27136.5,642.256,17434103.1841
